Sales_Order,Stage,Amount,Probability,Sales_Person,Company_Industry,Contact_Title,Type,Lead_Source,State,days_to_close
5708,Closed Lost,255000,0,Alex Rodriguez,Healthcare,Medical Director,New Business,Healthcare Conference,WA,45
5709,Decision Makers,315000,70,Sarah Johnson,Government,IT Director,New Business,RFP,MT,97
5710,Proposal/Price Quote,275000,65,Michael Chang,Financial Services,Client Relations Director,New Business,Industry Event,UT,117
5711,Closed Won,135000,100,Emma Wilson,Retail,Marketing Director,New Business,Trade Show,OH,36
5712,Negotiation/Review,325000,85,David Martinez,Manufacturing,Quality Manager,New Business,Partner Referral,NV,92
5713,Perception Analysis,345000,20,Alex Rodriguez,Utilities,Operations Director,New Business,RFP,OR,204
5714,Value Proposition,195000,45,Sarah Johnson,Education,IT Director,New Business,Education Conference,VT,158
5715,Qualification,215000,25,Michael Chang,Automotive,General Manager,New Business,Cold Call,IL,143
5716,Closed Won,235000,100,Emma Wilson,Healthcare,CISO,Upgrade,Healthcare Conference,TN,36
5717,Needs Analysis,375000,30,David Martinez,Manufacturing,Operations Director,New Business,Industry EventOPP-2024-0081,SC,158
5718,Decision Makers,185000,75,Sarah Johnson,Healthcare,Patient Services Director,New Business,Healthcare Conference,MN,92
5719,Proposal/Price Quote,325000,60,Michael Chang,Education,Technology Director,New Business,Education Conference,CO,118
5720,Closed Won,225000,100,Emma Wilson,Financial Services,Digital Banking Manager,Upgrade,Existing Customer,NC,38
5721,Negotiation/Review,355000,85,David Martinez,Manufacturing,Operations Director,New Business,Industry Event,DE,87
5722,Perception Analysis,285000,25,Alex Rodriguez,Government,Transportation Director,New Business,RFP,AL,203
5723,Value Proposition,165000,40,Sarah Johnson,Hospitality,Reservations Manager,New Business,Trade Show,WV,158
5724,Qualification,245000,30,Michael Chang,Transportation,Fare Systems Manager,New Business,Partner Referral,MI,148
5725,Closed Won,175000,100,Emma Wilson,Healthcare,Security Director,Upgrade,Healthcare Conference,MN,40
5726,Needs Analysis,295000,30,David Martinez,Hospitality,Operations Director,New Business,Industry EventOPP-2024-0071,VA,158
5727,Decision Makers,195000,70,Sarah Johnson,Healthcare,Analytics Director,New Business,Healthcare Conference,MA,92
5728,Proposal/Price Quote,365000,65,Michael Chang,Government,Records Administrator,New Business,RFP,OH,123
5729,Closed Won,85000,100,Emma Wilson,Business Services,Executive Director,New Business,Partner Referral,NE,51
5730,Negotiation/Review,235000,80,David Martinez,Manufacturing,Quality Director,New Business,Trade Show,FL,81
5731,Perception Analysis,295000,20,Alex Rodriguez,Insurance,Operations Director,New Business,Cold Call,MD,201
5732,Value Proposition,155000,45,Sarah Johnson,Food & Beverage,Operations Manager,New Business,Industry Event,WI,164
5733,Qualification,385000,25,Michael Chang,Healthcare,IT Director,Upgrade,Healthcare Conference,SD,148
5734,Closed Won,195000,100,Emma Wilson,Financial Services,Security Officer,Upgrade,Existing Customer,WA,36
5735,Needs Analysis,275000,35,David Martinez,Transportation,Operations Director,New Business,Partner ReferralOPP-2024-0061,HI,143
5736,Decision Makers,175000,75,Sarah Johnson,Healthcare,IT Manager,New Business,Healthcare Conference,AR,87
5737,Proposal/Price Quote,425000,60,Michael Chang,Education,IT Director,New Business,Education Conference,KS,118
5738,Closed Won,145000,100,Emma Wilson,Automotive,General Manager,New Business,Industry Event,MS,35
5739,Negotiation/Review,285000,90,David Martinez,Financial Services,Security Officer,New Business,Webinar,WI,87
5740,Perception Analysis,315000,20,Alex Rodriguez,Utilities,Utilities Director,New Business,RFP,LA,194
